Body data file part 1
xf,yf,zf = collocation points
xs,ys,zs = source points
dphifdn = Body boundary condition
sigma = source strength (this is the solution I got)
Number of body nodes =   510
 xf            yf             zf             xs             ys             zs             dphifn         sigma
-0.100000E+02  0.000000E+00   0.443541E-01  -0.999845E+01   0.000000E+00   0.443541E-01  -0.296622E+01  -0.345156E-05
-0.100000E+02  0.000000E+00  -0.994630E-01  -0.999845E+01   0.000000E+00  -0.994630E-01  -0.296622E+01  -0.325165E-05
-0.100000E+02  0.000000E+00  -0.243280E+00  -0.999845E+01   0.000000E+00  -0.243280E+00  -0.296622E+01  -0.319986E-05
-0.100000E+02  0.000000E+00  -0.387097E+00  -0.999845E+01   0.000000E+00  -0.387097E+00  -0.296622E+01  -0.320052E-05
-0.100000E+02  0.000000E+00  -0.530914E+00  -0.999845E+01   0.000000E+00  -0.530914E+00  -0.296622E+01  -0.322791E-05
-0.100000E+02  0.000000E+00  -0.674731E+00  -0.999845E+01   0.000000E+00  -0.674731E+00  -0.296622E+01  -0.327016E-05
-0.100000E+02  0.000000E+00  -0.818549E+00  -0.999845E+01   0.000000E+00  -0.818549E+00  -0.296622E+01  -0.331843E-05
-0.100000E+02  0.000000E+00  -0.962366E+00  -0.999845E+01   0.000000E+00  -0.962366E+00  -0.296622E+01  -0.336503E-05
-0.100000E+02  0.000000E+00  -0.110618E+01  -0.999845E+01   0.000000E+00  -0.110618E+01  -0.296622E+01  -0.340442E-05
-0.100000E+02  0.000000E+00  -0.125000E+01  -0.999845E+01   0.000000E+00  -0.125000E+01  -0.296622E+01  -0.343436E-05
-0.980769E+01  0.454197E-01   0.823225E-01  -0.977162E+01   0.000000E+00   0.823225E-01  -0.671444E+00  -0.136816E-02
-0.980769E+01  0.452942E-01  -0.657133E-01  -0.977172E+01   0.000000E+00  -0.651203E-01  -0.669678E+00  -0.955681E-03
-0.980769E+01  0.440916E-01  -0.213749E+00  -0.977263E+01   0.000000E+00  -0.211818E+00  -0.652727E+00  -0.855293E-03
-0.980769E+01  0.416150E-01  -0.361785E+00  -0.977452E+01   0.000000E+00  -0.358508E+00  -0.617613E+00  -0.738081E-03
-0.980769E+01  0.378643E-01  -0.509821E+00  -0.977740E+01   0.000000E+00  -0.505186E+00  -0.563939E+00  -0.587556E-03
-0.980769E+01  0.328395E-01  -0.657857E+00  -0.978131E+01   0.000000E+00  -0.651851E+00  -0.491167E+00  -0.414273E-03
-0.980769E+01  0.265407E-01  -0.805892E+00  -0.978627E+01   0.000000E+00  -0.798503E+00  -0.398717E+00  -0.242482E-03
-0.980769E+01  0.189679E-01  -0.953928E+00  -0.979232E+01   0.000000E+00  -0.945146E+00  -0.286094E+00  -0.104700E-03
-0.980769E+01  0.101210E-01  -0.110196E+01  -0.979947E+01   0.000000E+00  -0.109179E+01  -0.153088E+00  -0.272589E-04
-0.980769E+01  0.000000E+00  -0.125000E+01  -0.980769E+01   0.000000E+00  -0.123845E+01   0.000000E+00   0.690299E-05
-0.960458E+01  0.918223E-01   0.152650E+00  -0.956870E+01   0.000000E+00   0.152650E+00  -0.649891E+00  -0.214990E-02
-0.960458E+01  0.918217E-01  -0.319962E-02  -0.956870E+01   0.000000E+00  -0.313954E-02  -0.649887E+00  -0.167554E-02
-0.960458E+01  0.903357E-01  -0.159050E+00  -0.956926E+01   0.000000E+00  -0.156061E+00  -0.639756E+00  -0.155158E-02
-0.960458E+01  0.859949E-01  -0.314900E+00  -0.957090E+01   0.000000E+00  -0.308973E+00  -0.610050E+00  -0.139384E-02
-0.960458E+01  0.787994E-01  -0.470750E+00  -0.957364E+01   0.000000E+00  -0.461866E+00  -0.560454E+00  -0.116817E-02
-0.960458E+01  0.687490E-01  -0.626600E+00  -0.957750E+01   0.000000E+00  -0.614738E+00  -0.490508E+00  -0.875066E-03
-0.960458E+01  0.558439E-01  -0.782450E+00  -0.958252E+01   0.000000E+00  -0.767591E+00  -0.399708E+00  -0.545759E-03
-0.960458E+01  0.400841E-01  -0.938300E+00  -0.958870E+01   0.000000E+00  -0.920435E+00  -0.287654E+00  -0.250716E-03
-0.960458E+01  0.214694E-01  -0.109415E+01  -0.959607E+01   0.000000E+00  -0.107329E+01  -0.154257E+00  -0.707029E-04
-0.960458E+01  0.000000E+00  -0.125000E+01  -0.960458E+01   0.000000E+00  -0.122620E+01   0.000000E+00   0.399490E-04
-0.939006E+01  0.139124E+00   0.191450E+00  -0.935445E+01   0.000000E+00   0.191450E+00  -0.627582E+00   0.295356E-02
-0.939006E+01  0.139124E+00   0.312890E-01  -0.935445E+01   0.000000E+00   0.312890E-01  -0.627582E+00  -0.247064E-02
