Body data file part 2
n1,n2,n3 = unit normals
 n1            n2             n3
 0.100000E+01  0.000000E+00   0.000000E+00
 0.100000E+01  0.000000E+00   0.000000E+00
 0.100000E+01  0.000000E+00   0.000000E+00
 0.100000E+01  0.000000E+00   0.000000E+00
 0.100000E+01  0.000000E+00   0.000000E+00
 0.100000E+01  0.000000E+00   0.000000E+00
 0.100000E+01  0.000000E+00   0.000000E+00
 0.100000E+01  0.000000E+00   0.000000E+00
 0.100000E+01  0.000000E+00   0.000000E+00
 0.100000E+01  0.000000E+00   0.000000E+00
 0.226364E+00 -0.974043E+00   0.000000E+00
 0.225768E+00 -0.974174E+00   0.372172E-02
 0.220053E+00 -0.975412E+00   0.121212E-01
 0.208216E+00 -0.977867E+00   0.205676E-01
 0.190120E+00 -0.981330E+00   0.290862E-01
 0.165587E+00 -0.985475E+00   0.376904E-01
 0.134419E+00 -0.989839E+00   0.463763E-01
 0.964509E-01 -0.993811E+00   0.551155E-01
 0.516104E-01 -0.996624E+00   0.638489E-01
 0.000000E+00 -0.997370E+00   0.724804E-01
 0.219098E+00 -0.975703E+00   0.000000E+00
 0.219096E+00 -0.975703E+00   0.366923E-03
 0.215681E+00 -0.976293E+00   0.182503E-01
 0.205666E+00 -0.977953E+00   0.361950E-01
 0.188946E+00 -0.980488E+00   0.542488E-01
 0.165365E+00 -0.983569E+00   0.724358E-01
 0.134753E+00 -0.986715E+00   0.907416E-01
 0.969766E-01 -0.989289E+00   0.109100E+00
 0.520047E-01 -0.990490E+00   0.127375E+00
 0.000000E+00 -0.989380E+00   0.145355E+00
 0.211576E+00 -0.977361E+00   0.000000E+00
 0.211576E+00 -0.977361E+00   0.000000E+00
 0.209374E+00 -0.977578E+00   0.224348E-01
 0.200478E+00 -0.978403E+00   0.503590E-01
 0.184689E+00 -0.979668E+00   0.783654E-01
 0.161905E+00 -0.981047E+00   0.106456E+00
 0.132026E+00 -0.982068E+00   0.134577E+00
 0.950016E-01 -0.982109E+00   0.162594E+00
 0.509029E-01 -0.980410E+00   0.190275E+00
 0.000000E+00 -0.976109E+00   0.217280E+00
 0.203803E+00 -0.979012E+00   0.000000E+00
 0.203803E+00 -0.979012E+00   0.000000E+00
 0.201072E+00 -0.978989E+00   0.339208E-01
 0.191837E+00 -0.978858E+00   0.709609E-01
 0.176051E+00 -0.978443E+00   0.107960E+00
 0.153687E+00 -0.977446E+00   0.144841E+00
 0.124753E+00 -0.975453E+00   0.181461E+00
 0.893281E-01 -0.971944E+00   0.217592E+00
