Free surface data file
xf,yf,zf = collocation points
xs,ys,zs = source points
phif = potential on the free surface
sigma = source strength (this is the solution I got)
Number of free surface nodes =  2486
 xf            yf             zf             xs             ys             zs             phif           sigma
-0.200000E+02  0.000000E+00   0.108716E-02  -0.200000E+02   0.000000E+00   0.244553E+00  -0.320172E-01  -0.311184E-04
-0.192860E+02  0.000000E+00   0.108716E-02  -0.192860E+02   0.000000E+00   0.244553E+00  -0.320172E-01   0.105355E-04
-0.186100E+02  0.000000E+00   0.187629E-02  -0.186100E+02   0.000000E+00   0.245342E+00  -0.330621E-01   0.230214E-04
-0.179700E+02  0.000000E+00   0.251889E-02  -0.179700E+02   0.000000E+00   0.245985E+00  -0.355776E-01   0.962484E-05
-0.173640E+02  0.000000E+00   0.280109E-02  -0.173640E+02   0.000000E+00   0.246267E+00  -0.385858E-01   0.538459E-05
-0.167902E+02  0.000000E+00   0.299963E-02  -0.167902E+02   0.000000E+00   0.246466E+00  -0.415457E-01   0.661931E-05
-0.162470E+02  0.000000E+00   0.326779E-02  -0.162470E+02   0.000000E+00   0.246734E+00  -0.445491E-01   0.941659E-05
-0.157326E+02  0.000000E+00   0.358750E-02  -0.157326E+02   0.000000E+00   0.247053E+00  -0.477819E-01   0.108986E-04
-0.152456E+02  0.000000E+00   0.386739E-02  -0.152456E+02   0.000000E+00   0.247333E+00  -0.512112E-01   0.180635E-05
-0.147845E+02  0.000000E+00   0.417189E-02  -0.147845E+02   0.000000E+00   0.247638E+00  -0.547919E-01   0.706138E-05
-0.143480E+02  0.000000E+00   0.458021E-02  -0.143480E+02   0.000000E+00   0.248046E+00  -0.586361E-01   0.439448E-05
-0.139346E+02  0.000000E+00   0.501660E-02  -0.139346E+02   0.000000E+00   0.248482E+00  -0.627861E-01   0.152839E-04
-0.135433E+02  0.000000E+00   0.552960E-02  -0.135433E+02   0.000000E+00   0.248995E+00  -0.672738E-01   0.139745E-04
-0.131727E+02  0.000000E+00   0.611139E-02  -0.131727E+02   0.000000E+00   0.249577E+00  -0.721425E-01   0.159385E-04
-0.128219E+02  0.000000E+00   0.677382E-02  -0.128219E+02   0.000000E+00   0.250240E+00  -0.774147E-01   0.250609E-04
-0.124897E+02  0.000000E+00   0.754101E-02  -0.124897E+02   0.000000E+00   0.251007E+00  -0.831271E-01   0.293949E-04
-0.121752E+02  0.000000E+00   0.844655E-02  -0.121752E+02   0.000000E+00   0.251912E+00  -0.893446E-01   0.473809E-04
-0.118774E+02  0.000000E+00   0.951108E-02  -0.118774E+02   0.000000E+00   0.252977E+00  -0.961586E-01   0.276738E-04
-0.115955E+02  0.000000E+00   0.105871E-01  -0.115955E+02   0.000000E+00   0.254053E+00  -0.103560E+00  -0.227536E-04
-0.113286E+02  0.000000E+00   0.122533E-01  -0.113286E+02   0.000000E+00   0.255719E+00  -0.111742E+00  -0.330698E-05
-0.110758E+02  0.000000E+00   0.143306E-01  -0.110758E+02   0.000000E+00   0.257796E+00  -0.121030E+00   0.908164E-04
-0.108365E+02  0.000000E+00   0.170439E-01  -0.108365E+02   0.000000E+00   0.260510E+00  -0.131717E+00   0.612392E-04
-0.106099E+02  0.000000E+00   0.206939E-01  -0.106099E+02   0.000000E+00   0.264160E+00  -0.144157E+00   0.300493E-03
-0.103954E+02  0.000000E+00   0.255206E-01  -0.103954E+02   0.000000E+00   0.268987E+00  -0.158992E+00  -0.641856E-03
-0.101923E+02  0.122834E-10   0.334592E-01  -0.101923E+02   0.122834E-10   0.276925E+00  -0.176631E+00   0.277509E-02
-0.100000E+02  0.126146E-01   0.443541E-01  -0.100000E+02   0.126146E-01   0.287820E+00  -0.200080E+00  -0.103781E-01
-0.980769E+01  0.454197E-01   0.823225E-01  -0.980769E+01   0.454197E-01   0.325788E+00  -0.223615E+00   0.437480E-01
-0.960458E+01  0.918223E-01   0.152650E+00  -0.960458E+01   0.918223E-01   0.396116E+00  -0.271670E+00   0.159936E-02
-0.939006E+01  0.139124E+00   0.191450E+00  -0.939006E+01   0.139124E+00   0.434916E+00  -0.393554E+00  -0.404422E-01
-0.916349E+01  0.187226E+00   0.171253E+00  -0.916349E+01   0.187226E+00   0.414719E+00  -0.539662E+00  -0.424001E-01
-0.892419E+01  0.236017E+00   0.136328E+00  -0.892419E+01   0.236017E+00   0.379794E+00  -0.656704E+00  -0.516311E-02
-0.867144E+01  0.285366E+00   0.102727E+00  -0.867144E+01   0.285366E+00   0.346193E+00  -0.741091E+00   0.146731E-01
-0.840450E+01  0.335127E+00   0.584174E-01  -0.840450E+01   0.335127E+00   0.301883E+00  -0.781169E+00  -0.167046E-01
-0.812256E+01  0.385135E+00   0.418553E-02  -0.812256E+01   0.385135E+00   0.247651E+00  -0.758987E+00  -0.364793E-01
-0.782478E+01  0.434990E+00  -0.278720E-01  -0.782478E+01   0.434990E+00   0.215594E+00  -0.692270E+00   0.228022E-02
-0.751028E+01  0.485034E+00  -0.182266E-01  -0.751028E+01   0.485034E+00   0.225239E+00  -0.620621E+00   0.289191E-01
-0.717810E+01  0.534702E+00  -0.397308E-05  -0.717810E+01   0.534702E+00   0.243462E+00  -0.580113E+00  -0.219644E-01
-0.682727E+01  0.583639E+00  -0.632696E-02  -0.682727E+01   0.583639E+00   0.237139E+00  -0.555838E+00  -0.137488E-01
-0.645673E+01  0.631696E+00  -0.848032E-02  -0.645673E+01   0.631696E+00   0.234986E+00  -0.522070E+00   0.199639E-01
-0.606537E+01  0.678603E+00  -0.673878E-02  -0.606537E+01   0.678603E+00   0.236727E+00  -0.489278E+00  -0.119548E-01
-0.565202E+01  0.723950E+00  -0.129139E-01  -0.565202E+01   0.723950E+00   0.230552E+00  -0.452396E+00  -0.116151E-02
-0.521546E+01  0.767528E+00  -0.116362E-01  -0.521546E+01   0.767528E+00   0.231830E+00  -0.413338E+00   0.782300E-02
-0.475436E+01  0.808866E+00  -0.126921E-01  -0.475436E+01   0.808866E+00   0.230774E+00  -0.376608E+00  -0.490524E-02
-0.426737E+01  0.847566E+00  -0.147334E-01  -0.426737E+01   0.847566E+00   0.228732E+00  -0.336630E+00   0.454081E-02
-0.375302E+01  0.883214E+00  -0.155827E-01  -0.375302E+01   0.883214E+00   0.227883E+00  -0.297293E+00   0.196304E-03
-0.320977E+01  0.915272E+00  -0.177224E-01  -0.320977E+01   0.915272E+00   0.225743E+00  -0.257970E+00  -0.256621E-02
-0.263601E+01  0.943260E+00  -0.175537E-01  -0.263601E+01   0.943260E+00   0.225912E+00  -0.217746E+00  -0.604641E-02
-0.203001E+01  0.966513E+00  -0.170664E-01  -0.203001E+01   0.966513E+00   0.226399E+00  -0.176270E+00  -0.755977E-02
-0.138997E+01  0.984283E+00  -0.171940E-01  -0.138997E+01   0.984283E+00   0.226272E+00  -0.133460E+00  -0.634658E-02
-0.713972E+00  0.995720E+00  -0.175563E-01  -0.713972E+00   0.995720E+00   0.225910E+00  -0.893665E-01  -0.608537E-02
 0.000000E+00  0.999792E+00  -0.180096E-01   0.000000E+00   0.999792E+00   0.225456E+00  -0.436961E-01  -0.544788E-02
 0.713972E+00  0.995690E+00  -0.188587E-01   0.713972E+00   0.995690E+00   0.224607E+00   0.161118E-02  -0.495161E-02
 0.138997E+01  0.984217E+00  -0.200186E-01   0.138997E+01   0.984217E+00   0.223447E+00   0.450279E-01  -0.449076E-02
 0.203001E+01  0.966412E+00  -0.213208E-01   0.203001E+01   0.966412E+00   0.222145E+00   0.871609E-01  -0.412343E-02
 0.263601E+01  0.943134E+00  -0.227309E-01   0.263601E+01   0.943134E+00   0.220735E+00   0.128494E+00  -0.386487E-02
 0.320977E+01  0.915113E+00  -0.241939E-01   0.320977E+01   0.915113E+00   0.219272E+00   0.169297E+00  -0.362279E-02
 0.375302E+01  0.882978E+00  -0.256812E-01   0.375302E+01   0.882978E+00   0.217785E+00   0.209686E+00  -0.335746E-02
 0.426737E+01  0.847286E+00  -0.270948E-01   0.426737E+01   0.847286E+00   0.216371E+00   0.249648E+00  -0.306390E-02
 0.475436E+01  0.808528E+00  -0.285228E-01   0.475436E+01   0.808528E+00   0.214943E+00   0.289142E+00  -0.272226E-02
 0.521546E+01  0.767151E+00  -0.300576E-01   0.521546E+01   0.767151E+00   0.213408E+00   0.328389E+00  -0.229099E-02
 0.565202E+01  0.723569E+00  -0.314501E-01   0.565202E+01   0.723569E+00   0.212016E+00   0.367486E+00  -0.175763E-02
 0.606537E+01  0.678162E+00  -0.325754E-01   0.606537E+01   0.678162E+00   0.210890E+00   0.406132E+00  -0.115759E-02
 0.645673E+01  0.631272E+00  -0.335028E-01   0.645673E+01   0.631272E+00   0.209963E+00   0.443996E+00  -0.485636E-03
 0.682727E+01  0.583214E+00  -0.343388E-01   0.682727E+01   0.583214E+00   0.209127E+00   0.481004E+00   0.222818E-03
 0.717810E+01  0.534281E+00  -0.350388E-01   0.717810E+01   0.534281E+00   0.208427E+00   0.517197E+00   0.962769E-03
 0.751028E+01  0.484746E+00  -0.354871E-01   0.751028E+01   0.484746E+00   0.207979E+00   0.552482E+00   0.163407E-02
 0.782478E+01  0.434853E+00  -0.356151E-01   0.782478E+01   0.434853E+00   0.207851E+00   0.586642E+00   0.245716E-02
 0.812256E+01  0.384833E+00  -0.350142E-01   0.812256E+01   0.384833E+00   0.208452E+00   0.619207E+00   0.318725E-02
 0.840450E+01  0.334882E+00  -0.338203E-01   0.840450E+01   0.334882E+00   0.209646E+00   0.649685E+00   0.385047E-02
 0.867144E+01  0.285182E+00  -0.317793E-01   0.867144E+01   0.285182E+00   0.211687E+00   0.677651E+00   0.448188E-02
 0.892419E+01  0.235895E+00  -0.284675E-01   0.892419E+01   0.235895E+00   0.214998E+00   0.702469E+00   0.512929E-02
 0.916349E+01  0.187163E+00  -0.229429E-01   0.916349E+01   0.187163E+00   0.220523E+00   0.723165E+00   0.582095E-02
 0.939006E+01  0.139109E+00  -0.128511E-01   0.939006E+01   0.139109E+00   0.230615E+00   0.737971E+00   0.804366E-02
 0.960458E+01  0.918223E-01   0.805788E-02   0.960458E+01   0.918223E-01   0.251524E+00   0.743713E+00   0.102268E-01
 0.980769E+01  0.454197E-01   0.488862E-01   0.980769E+01   0.454197E-01   0.292352E+00   0.737061E+00   0.137040E-01
 0.100000E+02  0.126143E-01   0.127455E+00   0.100000E+02   0.126143E-01   0.370921E+00   0.706164E+00   0.174749E-01
 0.102564E+02  0.000000E+00   0.180171E+00   0.102564E+02   0.000000E+00   0.423637E+00   0.538237E+00  -0.311986E-01
 0.105219E+02  0.000000E+00   0.155424E+00   0.105219E+02   0.000000E+00   0.398890E+00   0.337348E+00  -0.192361E-01
 0.107969E+02  0.000000E+00   0.103300E+00   0.107969E+02   0.000000E+00   0.346766E+00   0.193284E+00   0.401203E-02
 0.110817E+02  0.000000E+00   0.564151E-01   0.110817E+02   0.000000E+00   0.299881E+00   0.111844E+00   0.988243E-02
 0.113766E+02  0.000000E+00   0.181648E-01   0.113766E+02   0.000000E+00   0.261631E+00   0.827149E-01  -0.570891E-02
 0.116820E+02  0.000000E+00  -0.100104E-01   0.116820E+02   0.000000E+00   0.233455E+00   0.952388E-01  -0.784039E-02
 0.119982E+02  0.000000E+00  -0.141590E-01   0.119982E+02   0.000000E+00   0.229307E+00   0.124960E+00   0.619573E-02
 0.123257E+02  0.000000E+00   0.259325E-02   0.123257E+02   0.000000E+00   0.246059E+00   0.139531E+00   0.418045E-02
 0.126648E+02  0.000000E+00   0.130165E-01   0.126648E+02   0.000000E+00   0.256482E+00   0.122992E+00  -0.550053E-02
 0.130161E+02  0.000000E+00   0.775890E-02   0.130161E+02   0.000000E+00   0.251225E+00   0.102867E+00   0.131672E-02
 0.133798E+02  0.000000E+00   0.425291E-02   0.133798E+02   0.000000E+00   0.247719E+00   0.956297E-01   0.186137E-02
 0.137564E+02  0.000000E+00   0.369559E-02   0.137564E+02   0.000000E+00   0.247161E+00   0.912872E-01  -0.217726E-02
 0.141465E+02  0.000000E+00   0.363776E-02   0.141465E+02   0.000000E+00   0.247104E+00   0.847565E-01   0.138747E-02
 0.145504E+02  0.000000E+00   0.323395E-02   0.145504E+02   0.000000E+00   0.246700E+00   0.789855E-01   0.256766E-03
 0.149687E+02  0.000000E+00   0.243578E-02   0.149687E+02   0.000000E+00   0.245902E+00   0.744755E-01  -0.167457E-03
 0.154018E+02  0.000000E+00   0.246838E-02   0.154018E+02   0.000000E+00   0.245934E+00   0.701262E-01   0.857515E-03
 0.158504E+02  0.000000E+00   0.212770E-02   0.158504E+02   0.000000E+00   0.245594E+00   0.657855E-01  -0.126104E-03
 0.163150E+02  0.000000E+00   0.188078E-02   0.163150E+02   0.000000E+00   0.245347E+00   0.621230E-01   0.355428E-04
 0.167960E+02  0.000000E+00   0.177194E-02   0.167960E+02   0.000000E+00   0.245238E+00   0.587987E-01  -0.373103E-04
 0.172942E+02  0.000000E+00   0.143944E-02   0.172942E+02   0.000000E+00   0.244905E+00   0.558563E-01  -0.250888E-04
 0.178101E+02  0.000000E+00   0.128496E-02   0.178101E+02   0.000000E+00   0.244751E+00   0.531062E-01   0.439290E-04
 0.183444E+02  0.000000E+00   0.116854E-02   0.183444E+02   0.000000E+00   0.244634E+00   0.504833E-01  -0.108351E-04
 0.188976E+02  0.000000E+00   0.964624E-03   0.188976E+02   0.000000E+00   0.244430E+00   0.480874E-01   0.979712E-05
 0.194706E+02  0.000000E+00   0.800219E-03   0.194706E+02   0.000000E+00   0.244266E+00   0.459154E-01   0.354326E-05
 0.200639E+02  0.000000E+00   0.677534E-03   0.200639E+02   0.000000E+00   0.244143E+00   0.438930E-01   0.846222E-05
 0.206783E+02  0.000000E+00   0.552885E-03   0.206783E+02   0.000000E+00   0.244019E+00   0.419142E-01   0.756821E-05
